trust_short,att,breaches,months,breach_rate,band
Royal Berkshire,552007,198802.0,48,36.01439836813663,D. 35-40%
Royal Cornwall Hospitals,301148,163395.0,48,54.25737511124098,G. Over 50%
Royal Devon University Healthcare,572736,250852.0,48,43.798888143926696,E. 40-45%
Royal Free London,994599,389080.0,48,39.11928324882691,D. 35-40%
Royal Surrey,307068,109194.0,48,35.560201649146116,D. 35-40%
Royal United Hospitals Bath,400103,167329.0,48,41.82148096865057,E. 40-45%
Royal Wolverhampton,601539,192023.0,48,31.921953522547998,C. 30-35%
Salisbury,209324,85671.0,48,40.92746173396266,E. 40-45%
Sandwell and West Birmingham Hospitals,634978,294689.0,48,46.409324417538876,F. 45-50%
Sheffield Children's,221096,21058.0,48,9.524369504649565,A. Under 25%
Sheffield Teaching Hospitals,424449,216136.0,48,50.92154770066604,G. Over 50%
Sherwood Forest Hospitals,500617,191886.0,48,38.32990090228658,D. 35-40%
Shrewsbury and Telford Hospital,501690,281744.0,48,56.15898263868125,G. Over 50%
Somerset,530035,235047.0,48,44.34556208552266,E. 40-45%
South Tees Hospitals,422969,201149.0,48,47.5564403065,F. 45-50%
South Tyneside and Sunderland,548504,248549.0,48,45.31398130186835,F. 45-50%
South Warwickshire University,376042,113505.0,48,30.184128368639673,C. 30-35%
St George's University Hospitals,421924,127134.0,48,30.13196689451181,C. 30-35%
Stockport,400121,160459.0,48,40.10261895776527,E. 40-45%
Surrey and Sussex Healthcare,482261,173744.0,48,36.02696465192084,D. 35-40%
Tameside and Glossop Integrated Care,395143,191439.0,48,48.448030206785894,F. 45-50%
Torbay and South Devon,296662,152269.0,48,51.32743661136243,G. Over 50%
United Lincolnshire Teaching Hospitals,619863,317396.0,48,51.20421770617055,G. Over 50%
University College London Hospitals,605697,186841.0,48,30.847271820728846,C. 30-35%
University Hospital Southampton,546259,206695.0,48,37.838278179398415,D. 35-40%
University Hospitals Birmingham,1585606,699599.0,48,44.12186886275657,E. 40-45%
University Hospitals Bristol and Weston,718903,274546.0,48,38.18957494961073,D. 35-40%
University Hospitals Coventry and Warwickshire,563431,261962.0,48,46.49406937140484,F. 45-50%
University Hospitals Dorset,645403,198496.0,48,30.755357505310638,C. 30-35%
University Hospitals Plymouth,412567,171862.0,48,41.65674908560307,E. 40-45%
University Hospitals Sussex,1113418,475721.0,48,42.72618190113686,E. 40-45%
University Hospitals of Derby and Burton,867088,429344.0,48,49.51562009853671,F. 45-50%
University Hospitals of Leicester,1010906,447727.0,48,44.28967678498297,E. 40-45%
University Hospitals of Morecambe Bay,410629,150126.0,48,36.56000915668402,D. 35-40%
University Hospitals of North Midlands,645864,341957.0,48,52.945666579961106,G. Over 50%
Walsall Healthcare,411858,147170.0,48,35.73318959447188,D. 35-40%
Warrington and Halton Teaching Hospitals,333892,161547.0,48,48.38301007511411,F. 45-50%
West Hertfordshire Teaching Hospitals,384147,173826.0,48,45.249865285945226,F. 45-50%
West Suffolk,350415,87290.0,48,24.910463307792188,A. Under 25%
Whittington Health,427458,132168.0,48,30.91952893617619,C. 30-35%
Wirral University Teaching Hospital,371437,194737.0,48,52.428002595325715,G. Over 50%
Worcestershire Acute Hospitals,604977,309898.0,48,51.22475730482316,G. Over 50%
"Wrightington, Wigan and Leigh Teaching Hospitals",358038,178187.0,48,49.76762243113859,F. 45-50%
Wye Valley,278900,120180.0,48,43.090713517389744,E. 40-45%
York and Scarborough Teaching Hospitals,493545,268340.0,48,54.36991561053197,G. Over 50%
